"id","quote_id","tag_id"
157,65,107
158,65,108
159,65,109
160,65,110
161,66,111
162,66,112
163,67,113
164,67,114
165,67,115
166,67,116
167,67,117
168,68,118
169,68,119
170,68,120
171,68,121
172,69,122
173,69,113
174,70,123
175,70,124
176,70,125
177,71,114
178,71,126
179,72,127
180,72,128
181,72,113
182,72,129
183,73,130
184,74,121
185,74,131
186,74,132
187,75,133
188,75,134
189,75,113
190,75,114
191,75,126
192,75,135
193,76,136
194,76,133
195,77,137
196,77,138
197,78,126
198,79,139
199,80,114
200,80,140
201,81,141
202,81,142
203,81,143
204,81,144
205,81,113
206,81,126
207,81,145
208,81,146
209,82,147
210,82,148
211,82,149
212,82,126
213,82,150
214,82,151
215,83,119
216,83,152
217,83,133
218,83,147
219,83,114
220,84,153
221,84,114
222,84,154
223,84,155
224,84,156
225,85,126
226,85,157
227,86,158
228,87,159
229,88,121
230,88,160
231,89,121
232,90,161
233,90,114
234,90,162
235,91,163
236,91,164
237,93,165
238,94,166
239,95,167
240,95,168
241,95,169
242,96,170
243,97,147
244,98,171
245,98,129
246,99,172
247,99,113
248,100,173
249,100,174
250,100,121
251,101,175
252,101,168
253,102,176
254,102,167
255,102,177
256,102,178
257,103,119
258,103,179
259,104,113
260,105,180
261,105,181
262,105,168
263,105,182
264,106,119
265,106,113
266,106,168
267,106,183
268,108,184
269,108,126
270,109,114
271,109,132
272,110,126
273,111,159
274,112,185
275,112,113
276,113,170
277,114,126
278,115,147
279,115,126
280,116,186
281,116,187
282,116,188
283,117,159
284,118,166
285,119,119
286,119,189
287,120,190
288,120,191
289,120,132
290,121,119
291,121,133
292,121,192
293,122,113
294,123,113
295,123,114
296,123,162
297,124,193
298,125,194
299,126,121
300,127,126
301,128,195
302,128,196
303,128,197
304,128,198
305,128,199
306,128,200
307,129,201
308,130,202
309,130,203
310,131,114
311,131,204
312,132,205
313,133,206
314,134,147
315,134,126
316,135,121
317,136,121
318,136,207
319,136,109
320,137,121
321,137,146
322,138,208
323,138,119
324,138,209
325,138,168
326,138,203
327,139,121
328,139,210
329,139,211
330,139,212
331,139,213
332,139,214
333,140,215
334,140,216
335,140,217
336,140,218
337,140,219
338,140,185
339,140,113
340,140,220
341,141,121
342,141,221
343,143,119
344,143,120
345,143,168
346,144,222
347,145,121
348,145,126
349,145,223
350,145,224
351,146,225
352,147,119
353,147,179
354,147,168
355,148,226
356,148,227
357,149,228
358,149,229
359,149,230
360,150,231
361,151,172
362,151,114
363,152,232
364,152,214
365,153,233
366,153,234
367,153,160
368,153,235
369,154,214
370,155,172
371,155,114
372,156,236
373,156,126
374,157,136
375,158,114
376,159,237
377,160,119
378,160,163
379,160,238
380,160,239
381,160,240
382,160,241
383,160,203
384,161,214
385,162,113
386,163,119
387,163,242
